"0km"	602.8204	1.51098302356731	1.51098302356731
"1km"	6211.92	15.5703185621427	17.08130158571
"2km"	10215.8628	25.6062921259679	42.6875937116779
"5km"	8763.2844	21.9653713761052	64.6529650877831
"10km"	7152.5064	17.9279197358891	82.5808848236722
"20km"	4155.0756	10.4147913594808	92.995676183153
"35km"	1247.1056	3.12589851006325	96.1215746932163
"50km"	958.178	2.4016949186784	98.5232696118947
"80km"	43.825	0.109848357832345	98.633117969727
"100km"	242.048	0.60669880927789	99.2398167790049
"200km"	161.332	0.404382322094876	99.6441991010998
"400km"	66.154	0.165816503457866	99.8100156045577
"600km"	43.072	0.107960946230571	99.9179765507882
"800km"	27.399	0.0686762157729248	99.9866527665612
"1500km"	5.325	0.0133472334388417	100
